day,animal,group,n_recordings,recordings,total_frames,bregma_row,bregma_col,profile,channel_order,animal_path,recording_paths
260611,PV5,P,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260611\PV5,F:\WF_2026\starting\260611\PV5\t1;F:\WF_2026\starting\260611\PV5\t2;F:\WF_2026\starting\260611\PV5\t3;F:\WF_2026\starting\260611\PV5\t4;F:\WF_2026\starting\260611\PV5\t5
260611,R1,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260611\R1,F:\WF_2026\starting\260611\R1\t1;F:\WF_2026\starting\260611\R1\t2;F:\WF_2026\starting\260611\R1\t3;F:\WF_2026\starting\260611\R1\t4;F:\WF_2026\starting\260611\R1\t5
260611,R2,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260611\R2,F:\WF_2026\starting\260611\R2\t1;F:\WF_2026\starting\260611\R2\t2;F:\WF_2026\starting\260611\R2\t3;F:\WF_2026\starting\260611\R2\t4;F:\WF_2026\starting\260611\R2\t5
260611,T4,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260611\T4,F:\WF_2026\starting\260611\T4\t1;F:\WF_2026\starting\260611\T4\t2;F:\WF_2026\starting\260611\T4\t3;F:\WF_2026\starting\260611\T4\t4;F:\WF_2026\starting\260611\T4\t5
260616,R3,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260616\R3,F:\WF_2026\starting\260616\R3\t1;F:\WF_2026\starting\260616\R3\t2;F:\WF_2026\starting\260616\R3\t3;F:\WF_2026\starting\260616\R3\t4;F:\WF_2026\starting\260616\R3\t5
260616,R4,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260616\R4,F:\WF_2026\starting\260616\R4\t1;F:\WF_2026\starting\260616\R4\t2;F:\WF_2026\starting\260616\R4\t3;F:\WF_2026\starting\260616\R4\t4;F:\WF_2026\starting\260616\R4\t5
260616,T5,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260616\T5,F:\WF_2026\starting\260616\T5\t1;F:\WF_2026\starting\260616\T5\t2;F:\WF_2026\starting\260616\T5\t3;F:\WF_2026\starting\260616\T5\t4;F:\WF_2026\starting\260616\T5\t5
260616,T7,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260616\T7,F:\WF_2026\starting\260616\T7\t1;F:\WF_2026\starting\260616\T7\t2;F:\WF_2026\starting\260616\T7\t3;F:\WF_2026\starting\260616\T7\t4;F:\WF_2026\starting\260616\T7\t5
260616,T8,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260616\T8,F:\WF_2026\starting\260616\T8\t1;F:\WF_2026\starting\260616\T8\t2;F:\WF_2026\starting\260616\T8\t3;F:\WF_2026\starting\260616\T8\t4;F:\WF_2026\starting\260616\T8\t5
260618,PV3,P,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260618\PV3,F:\WF_2026\starting\260618\PV3\t1;F:\WF_2026\starting\260618\PV3\t2;F:\WF_2026\starting\260618\PV3\t3;F:\WF_2026\starting\260618\PV3\t4;F:\WF_2026\starting\260618\PV3\t5
260618,PV4,P,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260618\PV4,F:\WF_2026\starting\260618\PV4\t1;F:\WF_2026\starting\260618\PV4\t2;F:\WF_2026\starting\260618\PV4\t3;F:\WF_2026\starting\260618\PV4\t4;F:\WF_2026\starting\260618\PV4\t5
260618,R2,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,F:\WF_2026\starting\260618\R2,F:\WF_2026\starting\260618\R2\t1;F:\WF_2026\starting\260618\R2\t2;F:\WF_2026\starting\260618\R2\t3;F:\WF_2026\starting\260618\R2\t4;F:\WF_2026\starting\260618\R2\t5
