day,animal,group,n_recordings,recordings,total_frames,bregma_row,bregma_col,profile,channel_order,animal_path,recording_paths
260611,R1,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260611\R1,\\146.48.88.209\share2\BOTOX_RESTANI\260611\R1\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R1\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R1\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R1\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R1\t5
260611,R2,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260611\R2,\\146.48.88.209\share2\BOTOX_RESTANI\260611\R2\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R2\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R2\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R2\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260611\R2\t5
260611,T4,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260611\T4,\\146.48.88.209\share2\BOTOX_RESTANI\260611\T4\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260611\T4\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260611\T4\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260611\T4\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260611\T4\t5
260616,R3,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260616\R3,\\146.48.88.209\share2\BOTOX_RESTANI\260616\R3\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R3\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R3\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R3\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R3\t5
260616,R4,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260616\R4,\\146.48.88.209\share2\BOTOX_RESTANI\260616\R4\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R4\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R4\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R4\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260616\R4\t5
260616,T5,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260616\T5,\\146.48.88.209\share2\BOTOX_RESTANI\260616\T5\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T5\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T5\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T5\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T5\t5
260616,T7,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260616\T7,\\146.48.88.209\share2\BOTOX_RESTANI\260616\T7\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T7\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T7\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T7\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T7\t5
260616,T8,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260616\T8,\\146.48.88.209\share2\BOTOX_RESTANI\260616\T8\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T8\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T8\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T8\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260616\T8\t5
260618,R2,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260618\R2,\\146.48.88.209\share2\BOTOX_RESTANI\260618\R2\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260618\R2\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260618\R2\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260618\R2\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260618\R2\t5
260618,T4,T,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260618\T4,\\146.48.88.209\share2\BOTOX_RESTANI\260618\T4\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260618\T4\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260618\T4\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260618\T4\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260618\T4\t5
260622,R3,R,5,t1;t2;t3;t4;t5,30000,121,134,cerebellar_rs,auto,\\146.48.88.209\share2\BOTOX_RESTANI\260622\R3,\\146.48.88.209\share2\BOTOX_RESTANI\260622\R3\t1;\\146.48.88.209\share2\BOTOX_RESTANI\260622\R3\t2;\\146.48.88.209\share2\BOTOX_RESTANI\260622\R3\t3;\\146.48.88.209\share2\BOTOX_RESTANI\260622\R3\t4;\\146.48.88.209\share2\BOTOX_RESTANI\260622\R3\t5
